CHL,2020-08-28 00:00:00,Bearish,-1
CHT,2020-09-01 00:00:00,Bearish,-1
CHU,2020-08-31 00:00:00,Bearish,-1
CI,2020-08-31 00:00:00,Bearish,-1
CIG,2020-08-28 00:00:00,Bullish,1
CIGI,2020-08-31 00:00:00,Bearish,-1
CIT,2020-08-31 00:00:00,Bearish,-1
CL,2020-09-01 00:00:00,Bearish,-1
CLNY,2020-09-01 00:00:00,Bearish,-1
CMCSA,2020-08-27 00:00:00,Bullish,1
CNHI,2020-08-28 00:00:00,Bullish,1
CNI,2020-08-28 00:00:00,Bearish,-1
CNO,2020-09-01 00:00:00,Bullish,1
CODI,2020-08-28 00:00:00,Bullish,1
COF,2020-08-27 00:00:00,Bullish,1
COO,2020-08-27 00:00:00,Bullish,1
CORE,2020-08-31 00:00:00,Bearish,-1
COST,2020-08-28 00:00:00,Bullish,1
CPB,2020-09-01 00:00:00,Bearish,-1
CPRI,2020-09-01 00:00:00,Bearish,-1
CPT,2020-08-27 00:00:00,Bullish,1
CRI,2020-09-01 00:00:00,Bearish,-1
CRON,2020-08-28 00:00:00,Bullish,1
CROX,2020-08-31 00:00:00,Bearish,-1
CRTX,2020-08-27 00:00:00,Bullish,1
CRUS,2020-08-31 00:00:00,Bullish,1
CTAS,2020-08-28 00:00:00,Bullish,1
CTL,2020-08-31 00:00:00,Bearish,-1
CTRE,2020-08-27 00:00:00,Bullish,1
CVAC,2020-08-27 00:00:00,Bearish,-1
CVGW,2020-08-31 00:00:00,Bearish,-1
CVI,2020-08-31 00:00:00,Bearish,-1
CVNA,2020-09-01 00:00:00,Bullish,1
CYBR,2020-08-27 00:00:00,Bullish,1
DADA,2020-08-27 00:00:00,Bearish,-1
DAN,2020-09-01 00:00:00,Bullish,1
DCT,2020-08-31 00:00:00,Bearish,-1
DELL,2020-08-28 00:00:00,Bullish,1
DFS,2020-08-27 00:00:00,Bullish,1
